table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR380_chemical,0-10cm sample disturbed or undistrubed,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Comment,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,LCR_Sample ID,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,LCR_Soil profile ID,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,LCR_Lab letter,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,LCR_Horizon number,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,LCR_pH [H2O],NA,NA,NA,NA,NA,NA,pH measured by 1:2.5 soil/water suspension; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Total Carbon (%),TRUE,c.tot,usda.a622,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",c.tot_usda.a622_w.pct,total organic carbon (C) and total nitrogen (N) measured by LECO TruMac; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Total Nitrogen (%),TRUE,n.tot,usda.a623,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",n.tot_usda.a623_w.pct,NA; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Carbon/Nitrogen,NA,NA,NA,NA,NA,NA,ratio of total C and total N; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_P Olsen Available (ug/g),TRUE,p.ext,usda.a274,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a274_mg.kg,"available phosphorus using the Olsen P method, extraction 1:20 ratio, with 0.5M sodium hydrogen carbonate adjusted to pH 8.5; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_P Bray Available (ug/g),TRUE,p.ext,usda.a270,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a270_mg.kg,"available phosphorus using the Bray 2-soluble P method, extraction 0.3 M NH4F and 0.1 M HCl, at a ratio of 1:10 soil:extractant; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_P inorganic (mg%),NA,NA,NA,NA,NA,NA,"inorganic phosphorus, extraction 0.5M H2SO4 at a ratio of 1:200 soil:extractant; Watt et al. (2005; 2008) and Ross et al. (2009)"
